source_city,target_city,month,edge_weight
Guangzhou,Singapore,202407,1
Guangzhou,Singapore,202410,1
Guangzhou,Singapore,202411,1
Guangzhou,Singapore,202501,1
Guangzhou,Singapore,202502,1
Guangzhou,Singapore,202503,1
Guangzhou,Singapore,202504,1
Guangzhou,Singapore,202505,1
Guangzhou,Singapore,202506,1
Guangzhou,Singapore,202508,1
Guangzhou,Singapore,202509,1
Guangzhou,Singapore,202510,1
Guangzhou,Singapore,202512,1
Guangzhou,Tokyo,202201,1
Guangzhou,Tokyo,202202,1
Guangzhou,Tokyo,202204,1
Guangzhou,Tokyo,202205,1
Guangzhou,Tokyo,202206,1
Guangzhou,Tokyo,202207,1
Guangzhou,Tokyo,202208,1
Guangzhou,Tokyo,202209,1
Guangzhou,Tokyo,202210,1
Guangzhou,Tokyo,202211,1
Guangzhou,Tokyo,202212,1
Guangzhou,Tokyo,202302,1
Guangzhou,Tokyo,202303,1
Guangzhou,Tokyo,202304,1
Guangzhou,Tokyo,202305,1
Guangzhou,Tokyo,202306,1
Guangzhou,Tokyo,202307,1
Guangzhou,Tokyo,202308,1
Guangzhou,Tokyo,202309,1
Guangzhou,Tokyo,202310,1
Guangzhou,Tokyo,202311,1
Guangzhou,Tokyo,202312,1
Guangzhou,Tokyo,202401,1
Guangzhou,Tokyo,202402,1
Guangzhou,Tokyo,202404,1
Guangzhou,Tokyo,202405,1
Guangzhou,Tokyo,202406,1
Guangzhou,Tokyo,202407,1
Guangzhou,Tokyo,202408,1
Guangzhou,Tokyo,202409,1
Guangzhou,Tokyo,202410,1
Guangzhou,Tokyo,202411,1
Guangzhou,Tokyo,202502,1
Guangzhou,Tokyo,202503,1
Guangzhou,Tokyo,202504,1
Guangzhou,Tokyo,202505,1
Guangzhou,Tokyo,202506,1
Guangzhou,Tokyo,202507,1
Guangzhou,Tokyo,202508,1
Guangzhou,Tokyo,202512,1
Hong Kong,Hsinchu,202205,1
Hong Kong,Hsinchu,202208,1
Hong Kong,Hsinchu,202301,1
Hong Kong,Hsinchu,202305,1
Hong Kong,Hsinchu,202307,1
Hong Kong,Hsinchu,202312,1
Hong Kong,Hsinchu,202401,1
Hong Kong,Hsinchu,202503,1
Hong Kong,Hsinchu,202505,1
Hong Kong,Lyon,202204,1
Hong Kong,Lyon,202205,1
Hong Kong,Lyon,202209,1
Hong Kong,Lyon,202210,1
Hong Kong,Lyon,202211,1
Hong Kong,Lyon,202212,1
Hong Kong,Lyon,202303,1
Hong Kong,Lyon,202304,1
Hong Kong,Lyon,202306,1
Hong Kong,Lyon,202308,1
Hong Kong,Lyon,202310,1
Hong Kong,Lyon,202406,1
Hong Kong,Lyon,202407,1
Hong Kong,Lyon,202502,1
Hong Kong,Shanghai,202201,1
Hong Kong,Shanghai,202202,1
Hong Kong,Shanghai,202203,1
Hong Kong,Shanghai,202204,1
Hong Kong,Shanghai,202205,1
Hong Kong,Shanghai,202206,1
Hong Kong,Shanghai,202207,1
Hong Kong,Shanghai,202208,1
