author,entity_type,raw_location,source,status,fetched_at
MaxJeblick,unknown,,unmatched,skipped,
MaxedOut,unknown,,unmatched,skipped,
Maxwell-Jia,user,"Beijing, China",cached_github,ok,
Maykeye,unknown,,unmatched,skipped,
MaziyarPanahi,organization,"Paris, France",manual,manual,
McGill-NLP,organization,Canada,cached_github,ok,
MedRAG,unknown,,unmatched,skipped,
MediaCatch,unknown,,unmatched,skipped,
MediaTek-Research,unknown,,unmatched,skipped,
Meehai,unknown,,unmatched,skipped,
MegaScience,unknown,,unmatched,skipped,
Meina,unknown,,unmatched,skipped,
MeissonFlow,unknown,,unmatched,skipped,
Menlo,unknown,,unmatched,skipped,
MetaIX,unknown,,unmatched,skipped,
Metric-AI,unknown,,unmatched,skipped,
MiaoshouAI,unknown,,unmatched,skipped,
Michau,unknown,,unmatched,skipped,
MilaNLProc,unknown,,unmatched,skipped,
Milos,unknown,,unmatched,skipped,
MilosKosRad,unknown,,unmatched,skipped,
Minej,unknown,,unmatched,skipped,
MingZhong,unknown,,unmatched,skipped,
MiniMaxAI,unknown,,unmatched,skipped,
MintLab,unknown,,unmatched,skipped,
Minthy,unknown,,unmatched,skipped,
MirageML,unknown,,unmatched,skipped,
Miragic-AI,unknown,,unmatched,skipped,
Misha24-10,user,Moscow,cached_github,ok,
Mistral-AI-Game-Jam,unknown,,unmatched,skipped,
Mitsua,unknown,,unmatched,skipped,
MoaData,unknown,,unmatched,skipped,
Mobvoi,unknown,,unmatched,skipped,
ModelCloud,unknown,,unmatched,skipped,
ModelSpace,unknown,,unmatched,skipped,
ModelsLab,unknown,,unmatched,skipped,
Modotte,unknown,,unmatched,skipped,
Moemu,unknown,,unmatched,skipped,
MohamedRashad,unknown,,unmatched,skipped,
Monero,unknown,,unmatched,skipped,
MongoDB,organization,United States of America,cached_github,ok,
Monster,unknown,,unmatched,skipped,
MonsterMMORPG,unknown,,unmatched,skipped,
MoonMan420,unknown,,unmatched,skipped,
MoritzLaurer,user,Paris,cached_github,ok,
Motif-Technologies,unknown,,unmatched,skipped,
Mozilla,unknown,,unmatched,skipped,
MrDragonFox,unknown,,unmatched,skipped,
MrLight,unknown,,unmatched,skipped,
MultimodalUniverse,unknown,,unmatched,skipped,
Mungert,unknown,,unmatched,skipped,
MuntasirHossain,unknown,,unmatched,skipped,
Mustafaa4a,unknown,,unmatched,skipped,
Mxode,unknown,,unmatched,skipped,
MyneFactory,unknown,,unmatched,skipped,
NAMAA-Space,unknown,,unmatched,skipped,
NC-AI-consortium-VAETKI,unknown,,unmatched,skipped,
NCAIR1,unknown,,unmatched,skipped,
NCSOFT,unknown,,unmatched,skipped,
NHNDQ,unknown,,unmatched,skipped,
NLPark,unknown,,unmatched,skipped,
NPHardEval,unknown,,unmatched,skipped,
NSFW-API,unknown,,unmatched,skipped,
NTQAI,unknown,,unmatched,skipped,
NTU-NLP-sg,unknown,,unmatched,skipped,
NVFP4,unknown,,unmatched,skipped,
NX-AI,organization,Austria,cached_github,ok,
Nacholmo,user,Argentina,cached_github,ok,
NamoNam,unknown,,unmatched,skipped,
Nanbeige,unknown,,unmatched,skipped,
NaniDAO,unknown,,unmatched,skipped,
Narsil,unknown,,unmatched,skipped,
NbAiLab,unknown,,unmatched,skipped,
NeelNanda,unknown,,unmatched,skipped,
NeoQuasar,unknown,,unmatched,skipped,
Nerfgun3,unknown,,unmatched,skipped,
NetherlandsForensicInstitute,unknown,,unmatched,skipped,
NeuML,organization,"Washington, DC Metro",cached_github,ok,
NeuralFalcon,unknown,,unmatched,skipped,
NeuralInternet,unknown,,unmatched,skipped,
NeurixYUFI,unknown,,unmatched,skipped,
NeuroSenko,unknown,,unmatched,skipped,
NeverSleep,unknown,,unmatched,skipped,
NewBie-AI,unknown,,unmatched,skipped,
NexaAI,organization,United States of America,cached_github,ok,
NexesQuants,unknown,,unmatched,skipped,
Nextcloud-AI,unknown,,unmatched,skipped,
Nexusflow,unknown,,unmatched,skipped,
Nick088,unknown,,unmatched,skipped,
NickL77,unknown,,unmatched,skipped,
NihalGazi,unknown,,unmatched,skipped,
Nikity,unknown,,unmatched,skipped,
NilanE,unknown,,unmatched,skipped,
NinedayWang,unknown,,unmatched,skipped,
NingLab,unknown,,unmatched,skipped,
Nitral-AI,unknown,,unmatched,skipped,
NlpHUST,unknown,,unmatched,skipped,
NoCrypt,user,Indonesia,cached_github,ok,
Norm,unknown,,unmatched,skipped,
NortheasternUniversity,unknown,,unmatched,skipped,
NousResearch,organization,"Los Angeles, CA, USA",manual,manual,
NovaSearch,unknown,,unmatched,skipped,
NovaSky-AI,organization,United States of America,cached_github,ok,
NovelAI,unknown,,unmatched,skipped,
NumbersStation,unknown,,unmatched,skipped,
Nurburgring,unknown,,unmatched,skipped,
Nymbo,unknown,,unmatched,skipped,
NyxKrage,user,Denmark,cached_github,ok,
O1-OPEN,unknown,,unmatched,skipped,
OALL,unknown,,unmatched,skipped,
OFA-Sys,organization,China,cached_github,ok,
OLMo-Coding,unknown,,unmatched,skipped,
OPEA,unknown,,unmatched,skipped,
ORI-Muchim,user,"Korea, Republic of",cached_github,ok,
Octen,unknown,,unmatched,skipped,
OctoMed,unknown,,unmatched,skipped,
OctoThinker,unknown,,unmatched,skipped,
Ojimi,unknown,,unmatched,skipped,
OleehyO,user,Beijing,cached_github,ok,
OliBomby,unknown,,unmatched,skipped,
OmniAICreator,unknown,,unmatched,skipped,
OmniAvatar,unknown,,unmatched,skipped,
OmniGen2,unknown,,unmatched,skipped,
OmniSVG,unknown,,unmatched,skipped,
Omnibus,unknown,,unmatched,skipped,
OneThink,unknown,,unmatched,skipped,
Onodofthenorth,unknown,,unmatched,skipped,
OnomaAIResearch,unknown,,unmatched,skipped,
Open-Bee,unknown,,unmatched,skipped,
Open-Orca,organization,"San Francisco, CA, USA",manual,manual,
OpenAssistant,unknown,,unmatched,skipped,
OpenBuddy,organization,Singapore,manual,manual,
OpenCoder-LLM,unknown,,unmatched,skipped,
OpenDFM,unknown,,unmatched,skipped,
OpenDataArena,unknown,,unmatched,skipped,
OpenDriveLab,organization,Hong Kong,cached_github,ok,
OpenEvals,unknown,,unmatched,skipped,
OpenFace-CQUPT,unknown,,unmatched,skipped,
OpenGVLab,organization,"Shanghai, China",manual,manual,
OpenGalaxea,unknown,,unmatched,skipped,
OpenHands,unknown,,unmatched,skipped,
OpenLLM-France,unknown,,unmatched,skipped,
OpenLemur,unknown,,unmatched,skipped,
OpenMOSS-Team,unknown,,unmatched,skipped,
OpenMatch,unknown,,unmatched,skipped,
OpenMed,organization,"Boston, MA, USA",manual,manual,
OpenMotionLab,unknown,,unmatched,skipped,
OpenMuQ,unknown,,unmatched,skipped,
OpenOneRec,unknown,,unmatched,skipped,
OpenPipe,unknown,,unmatched,skipped,
OpenSQZ,unknown,,unmatched,skipped,
OpenSciLM,unknown,,unmatched,skipped,
OpenSound,unknown,,unmatched,skipped,
OpenVINO,unknown,,unmatched,skipped,
OptimalScale,unknown,,unmatched,skipped,
OrcaDB,unknown,,unmatched,skipped,
OrdalieTech,unknown,,unmatched,skipped,
Orenguteng,unknown,,unmatched,skipped,
Organika,unknown,,unmatched,skipped,
Orion-zhen,unknown,,unmatched,skipped,
OrionStarAI,organization,"Beijing, China",manual,manual,
Osama03,unknown,,unmatched,skipped,
OuteAI,organization,"Vilnius, Lithuania",manual,manual,
Owen777,unknown,,unmatched,skipped,
OwensLab,unknown,,unmatched,skipped,
OysterQAQ,user,Beijing,cached_github,ok,
OzzyGT,unknown,,unmatched,skipped,
PIA-SPACE-LAB,unknown,,unmatched,skipped,
PKOBP,unknown,,unmatched,skipped,
PKU-Alignment,organization,"Beijing, China",manual,manual,
PKU-DS-LAB,unknown,,unmatched,skipped,
PLM-Team,unknown,,unmatched,skipped,
PM-AI,unknown,,unmatched,skipped,
POLARIS-Project,unknown,,unmatched,skipped,
PORTULAN,unknown,,unmatched,skipped,
PRIME-RL,unknown,,unmatched,skipped,
PaDaS-Lab,unknown,,unmatched,skipped,
PaddlePaddle,organization,"Beijing, China",manual,manual,
Pageshift-Entertainment,unknown,,unmatched,skipped,
PantheonUnbound,unknown,,unmatched,skipped,
ParasiticRogue,unknown,,unmatched,skipped,
PartAI,unknown,,unmatched,skipped,
PatataAliena,unknown,,unmatched,skipped,
PatronusAI,unknown,,unmatched,skipped,
PawanKrd,unknown,,unmatched,skipped,
Pclanglais,unknown,,unmatched,skipped,
PekingU,unknown,,unmatched,skipped,
Pendrokar,user,"Riga, Latvia",cached_github,ok,
PerceptronAI,unknown,,unmatched,skipped,
PharMolix,unknown,,unmatched,skipped,
Phil2Sat,unknown,,unmatched,skipped,
PhilipMay,user,Germany / Braunschweig,cached_github,ok,
Phind,unknown,,unmatched,skipped,
Phips,unknown,,unmatched,skipped,
Photoroom,unknown,,unmatched,skipped,
PhysicsWallahAI,unknown,,unmatched,skipped,
Pinwheel,unknown,,unmatched,skipped,
PipableAI,unknown,,unmatched,skipped,
PirateXX,unknown,,unmatched,skipped,
PixArt-alpha,organization,Hong Kong,cached_github,ok,
PlanTL-GOB-ES,organization,"Madrid, Spain",manual,manual,
PlayHT,unknown,,unmatched,skipped,
PleIAs,unknown,,unmatched,skipped,
PocketDoc,unknown,,unmatched,skipped,
PokeeAI,unknown,,unmatched,skipped,
PolyAI,unknown,,unmatched,skipped,
PosterCraft,unknown,,unmatched,skipped,
PramaLLC,unknown,,unmatched,skipped,
Presidentlin,unknown,,unmatched,skipped,
PrimeIntellect,unknown,,unmatched,skipped,
ProGamerGov,user,Multiverse,cached_github,ok,
ProgramComputer,unknown,,unmatched,skipped,
ProlificAI,unknown,,unmatched,skipped,
PromptEval,unknown,,unmatched,skipped,
ProsusAI,unknown,,unmatched,skipped,
PrunaAI,organization,"Paris, France",manual,manual,
PublicPrompts,unknown,,unmatched,skipped,
Purfview,user,Aldebaran,cached_github,ok,
PygmalionAI,organization,"San Francisco, CA, USA",manual,manual,
QCRI,unknown,,unmatched,skipped,
Qdrant,organization,Germany,cached_github,ok,
Qika,unknown,,unmatched,skipped,
QingyiSi,unknown,,unmatched,skipped,
QizhiPei,user,Beijing,cached_github,ok,
Qodo,unknown,,unmatched,skipped,
Qu3tzal,user,Tokyo,cached_github,ok,
QuantFactory,unknown,,unmatched,skipped,
QuantStack,unknown,,unmatched,skipped,
QuantTrio,unknown,,unmatched,skipped,
QuixiAI,unknown,,unmatched,skipped,
Qwen,organization,"Hangzhou, China",manual,manual,
RASMUS,unknown,,unmatched,skipped,
RE-N-Y,user,Somewhere,cached_github,ok,
RED-AIGC,unknown,,unmatched,skipped,
RLHFlow,organization,United States of America,cached_github,ok,
RUC-DataLab,unknown,,unmatched,skipped,
RUC-NLPIR,organization,China,cached_github,ok,
RUPunct,unknown,,unmatched,skipped,
RWKV,organization,"Hangzhou, China",manual,manual,
Raffix,unknown,,unmatched,skipped,
Rakuten,unknown,,unmatched,skipped,
Ralriki,unknown,,unmatched,skipped,
RamAnanth1,unknown,,unmatched,skipped,
Rami,unknown,,unmatched,skipped,
RapidAI,unknown,,unmatched,skipped,
Ray2333,unknown,,unmatched,skipped,
Rayzl,unknown,,unmatched,skipped,
ReadyArt,unknown,,unmatched,skipped,
RealSourceData,unknown,,unmatched,skipped,
RedHatAI,organization,"Raleigh, NC, USA",manual,manual,
RekaAI,unknown,,unmatched,skipped,
Remade-AI,unknown,,unmatched,skipped,
Remsky,user,Canada,cached_github,ok,
ResembleAI,unknown,,unmatched,skipped,
ResplendentAI,unknown,,unmatched,skipped,
Revai,unknown,,unmatched,skipped,
RevolutionCrossroads,unknown,,unmatched,skipped,
RhapsodyAI,unknown,,unmatched,skipped,
RiceD2KLab,unknown,,unmatched,skipped,
RichardErkhov,unknown,,unmatched,skipped,
Riksarkivet,unknown,,unmatched,skipped,
RinggAI,unknown,,unmatched,skipped,
RishuD7,unknown,,unmatched,skipped,
RiverZ,unknown,,unmatched,skipped,
RoadQAQ,unknown,,unmatched,skipped,
Roblox,unknown,,unmatched,skipped,
RoboCOIN,unknown,,unmatched,skipped,
RoboVerseOrg,organization,United States of America,cached_github,ok,
RogerQi,user,"San Diego, CA",cached_github,ok,
RohitSK146,unknown,,unmatched,skipped,
RomixERR,unknown,,unmatched,skipped,
Rostlab,unknown,,unmatched,skipped,
Rothfeld,unknown,,unmatched,skipped,
RubielLabarta,unknown,,unmatched,skipped,
RunDiffusion,unknown,,unmatched,skipped,
RussianNLP,unknown,,unmatched,skipped,
RyokoAI,unknown,,unmatched,skipped,
S4nfs,unknown,,unmatched,skipped,
SAP,organization,Germany,cached_github,ok,
SCUT-DLVCLab,unknown,,unmatched,skipped,
SG161222,unknown,,unmatched,skipped,
SII-KYW,unknown,,unmatched,skipped,
SIP-med-LLM,unknown,,unmatched,skipped,
SPO-Diffusion-Models,unknown,,unmatched,skipped,
STEM-AI-mtl,unknown,,unmatched,skipped,
SUFE-AIFLM-Lab,unknown,,unmatched,skipped,
SUSTech,unknown,,unmatched,skipped,
SWE-bench,unknown,,unmatched,skipped,
SWivid,unknown,,unmatched,skipped,
