entity_id,entity_type,raw_location,platform,cleaned_location,matched_city,country,lat,lon,confidence
ChangwenXu98,github_user,"Ann Arbor, MI",GitHub,"Ann Arbor, MI",Ann Arbor,United States,42.2808,-83.743,high
Ali-Alameer,github_user,,GitHub,,,,,,none
Significant-Gravitas,github_organization,,GitHub,,,,,,none
ollama,github_organization,,GitHub,,,,,,none
langgenius,github_organization,,GitHub,,,,,,none
ggml-org,github_organization,,GitHub,,,,,,none
mlabonne,github_user,"London, United Kingdom",GitHub,"London, United Kingdom",London,United Kingdom,51.5074,-0.1278,high
nomic-ai,github_organization,United States of America,GitHub,United States of America,,,,,low
vllm-project,github_organization,,GitHub,,,,,,none
binary-husky,github_user,,GitHub,,,,,,none
hiyouga,github_user,"Beijing, China",GitHub,"Beijing, China",Beijing,China,39.9042,116.4074,high
FoundationAgents,github_organization,,GitHub,,,,,,none
xtekky,github_user,Europe,GitHub,Europe,,,,,low
Mintplex-Labs,github_organization,United States of America,GitHub,United States of America,,,,,low
mem0ai,github_organization,United States of America,GitHub,United States of America,,,,,low
mudler,github_user,Italy,GitHub,Italy,,,,,low
lm-sys,github_organization,,GitHub,,,,,,none
QuivrHQ,github_organization,France,GitHub,France,,,,,low
chatchat-space,github_organization,,GitHub,,,,,,none
reworkd,github_organization,"San Francisco, CA",GitHub,"San Francisco, CA",San Francisco,United States,37.7749,-122.4194,high
continuedev,github_organization,United States of America,GitHub,United States of America,,,,,low
songquanpeng,github_user,"Shanghai, China",GitHub,"Shanghai, China",Shanghai,China,31.2304,121.4737,high
tatsu-lab,github_organization,,GitHub,,,,,,none
CopilotKit,github_organization,,GitHub,,,,,,none
JushBJJ,github_user,In my room,GitHub,In my room,Chennai Corporation,India,13.0754203,80.1617538,medium
labring,github_organization,,GitHub,,,,,,none
onyx-dot-app,github_organization,United States of America,GitHub,United States of America,,,,,low
Hannibal046,github_user,,GitHub,,,,,,none
assafelovic,github_user,,GitHub,,,,,,none
SillyTavern,github_organization,,GitHub,,,,,,none
langfuse,github_organization,,GitHub,,,,,,none
liguodongiot,github_user,"Chengdu, China",GitHub,"Chengdu, China",Chengdu,China,30.5728,104.0668,high
sinaptik-ai,github_organization,,GitHub,,,,,,none
vercel,github_organization,United States of America,GitHub,United States of America,,,,,low
vanna-ai,github_organization,,GitHub,,,,,,none
HqWu-HITCS,github_user,,GitHub,,,,,,none
mlc-ai,github_organization,,GitHub,,,,,,none
promptfoo,github_organization,United States of America,GitHub,United States of America,,,,,low
AI4Finance-Foundation,github_organization,New York City,GitHub,New York City,New York,United States,40.7128,-74.006,high
comet-ml,github_organization,,GitHub,,,,,,none
eosphoros-ai,github_organization,,GitHub,,,,,,none
openai,github_organization,,GitHub,,,,,,none
arc53,github_organization,United Kingdom,GitHub,United Kingdom,,,,,low
BradyFU,github_user,,GitHub,,,,,,none
TransformerOptimus,github_organization,,GitHub,,,,,,none
GoogleCloudPlatform,github_organization,,GitHub,,,,,,none
lyogavin,github_user,Bay area,GitHub,Bay area,San Francisco,United States,37.7749,-122.4194,high
GaiZhenbiao,github_user,Hangzhou,GitHub,Hangzhou,Hangzhou,China,30.2741,120.1551,high
jujumilk3,github_user,"Seoul, Korea",GitHub,"Seoul, Korea",Seoul,South Korea,37.5665,126.978,high
vibrantlabsai,github_organization,,GitHub,,,,,,none
Lightning-AI,github_organization,United States of America,GitHub,United States of America,,,,,low
cocktailpeanut,github_user,,GitHub,,,,,,none
ShishirPatil,github_user,Berkeley,GitHub,Berkeley,Berkeley,United States,37.8708393,-122.272863,medium
567-labs,github_organization,,GitHub,,,,,,none
eugeneyan,github_user,Seattle,GitHub,Seattle,Seattle,United States,47.6062,-122.3321,high
